#,Username,Display Name,Tier,Channels Count,Specialty / Focus
1,@farida_ads,Farida Ads (فريدة),Tier 1 (الكبرى),+25 قناة,إدارة وتبادل صفقات كبرى قنوات الذهب والفوركس والـ VIP
2,@Adsazza,Azza Ads (عزة),Tier 1 (الكبرى),+20 قناة,منسقة إعلانات وتبادل ترافيك ومتابعين
3,@fatenexchange,Faten Exchange (فاتن),Tier 1 (الكبرى),+18 قناة,إدارة شبكة تبادل إعلاني وتمويل قنوات الفوركس
4,@adprofx,Ad Pro FX (دينا إعلانات),Tier 1 (الكبرى),+15 قناة,وكالة إعلانات وترويج قنوات التداول والفوركس
5,@EliteTradersAd,Elite Traders Hub,Tier 1 (الكبرى),+15 قناة,شبكة التبادل الإعلاني والترويج لقنوات المتداولين
6,@Growthengine_co,Growth Engine Official,Tier 1 (الكبرى),+15 قناة,وكالة نمو وتمويل وشراء ترافيك وحملات إعلانية
7,@MaryamAds1,Maryam Ads (مريم),Tier 1 (الكبرى),+12 قناة,إدارة إعلانات وترويج شبكات الذهب والماسترز
8,@maysa_ads,Maysa Ads (مايسة),Tier 1 (الكبرى),+12 قناة,مسؤولة تسويق ونشر إعلاني ومؤثرين وتداول
9,@HagerAds,Hager Ads (هاجر),Tier 1 (الكبرى),+10 قنوات,مديرة تبادل إعلاني وتكبير قنوات التداول
10,@Mohamed_ads97,Mohamed Ads 97 (محمد),Tier 1 (الكبرى),+10 قنوات,ميديا باير وتسويق منصات التداول الرقمي
11,@protradersad,Pro Traders Exchange,Tier 1 (الكبرى),+10 قنوات,ترويج وتبادل قنوات التداول والخدمات المالية
12,@dinaads,Dina Ads (دينا),Tier 1 (الكبرى),+10 قنوات,تسويق قنوات الفوركس والتمويل الإعلاني
13,@tamerads1,Tamer Ads (تامر),Tier 2 (متوسطة - نشطة),+8 قنوات,إدارة إعلانات وتمويل وتكبير قنوات فوركس وتداول
14,@ReemAds,Reem Ads (ريم),Tier 2 (متوسطة - نشطة),+8 قنوات,إدارة حملات ترويجية وتبادل إعلاني مباشر
15,@Emanadsa,Eman Ads (إيمان),Tier 2 (متوسطة - نشطة),+8 قنوات,مسؤولة إعلانات قنوات واستقبال رعايات
16,@Asmaaa_ads,Asmaa Ads (أسماء),Tier 2 (متوسطة - نشطة),+8 قنوات,تسويق وتبادل إعلاني لقنوات الفوركس والمال
17,@nonaads,Nona Ads (نونا / ناهد),Tier 2 (متوسطة - نشطة),+8 قنوات,مسؤولة تبادل إعلاني وتكبير قنوات تداول
18,@Sarah_Ads,Sarah Ads (سارة),Tier 2 (متوسطة - نشطة),+8 قنوات,إعلانات وترويج قنوات الكريبتو والتداول
19,@ADSSALMAa,Salma Ads (سلمى),Tier 2 (متوسطة - نشطة),+7 قنوات,مسؤولة تسويق ونمو قنوات التداول
20,@MOKHTARR1,Mokhtar Ads (مختار),Tier 2 (متوسطة - نشطة),+7 قنوات,ميديا باير وإدارة إعلانات الفوركس والشراكات
21,@AdSwift,AdSwift Agency,Tier 2 (متوسطة - نشطة),+7 قنوات,وكالة ترويج مالي وشراء ترافيك وحملات
22,@Lamar_Ads,Lamar Ads (لمار),Tier 2 (متوسطة - نشطة),+6 قنوات,إدارة إعلانات وتبادل نشر يومي مباشر
23,@HayamAd2j,Hayam Ads (هيام),Tier 2 (متوسطة - نشطة),+6 قنوات,مسؤولة تبادل إعلاني وترويج قنوات
24,@Jamilaads,Jamila Ads (جميلة),Tier 2 (متوسطة - نشطة),+6 قنوات,ترويج منصات وقنوات VIP
25,@nancy_ads1,Nancy Ads (نانسي),Tier 2 (متوسطة - نشطة),+6 قنوات,مسؤولة إعلانات قنوات نشطة
26,@rahma4565,Rahma Ads (رحمة),Tier 2 (متوسطة - نشطة),+6 قنوات,تبادل إعلاني وتزويد تفاعل
27,@lis_anihad,Nihad Trading (نهاد),Tier 2 (متوسطة - نشطة),+5 قنوات,مسؤولة تواصل وإعلانات في قنوات المليونير
28,@nahed_ads,Nahed Ads (ناهد),Tier 2 (متوسطة - نشطة),+5 قنوات,حساب حجز وتبادل إعلانات القنوات
